age,income_tier,primary_use,human_choice,choice,factor,parse_success,error
63,Medium,Gaming,Option A,Option B,convenience,True,
24,Medium,Streaming,Option C,Option B,convenience,True,
45,High,Streaming,Option A,Option B,convenience,True,
44,High,Streaming,Option C,Option A,value,True,
21,Medium,Gaming,Option A,Option B,convenience,True,
33,Medium,Browsing,Option B,Option B,convenience,True,
49,Low,Voice,Option A,Option B,convenience,True,
27,Low,Voice,Option C,Option C,convenience,True,
61,High,Streaming,Option A,Option B,convenience,True,
37,Low,Voice,Option A,Option B,convenience,True,
28,Low,Voice,Option A,Option B,convenience,True,
33,High,Streaming,Option B,Option B,convenience,True,
68,Low,Streaming,Option B,Option C,convenience,True,
22,High,Streaming,Option C,Option B,convenience,True,
49,Low,Browsing,Option A,Option B,convenience,True,
43,High,Streaming,Option B,Option B,convenience,True,
52,Low,Browsing,Option B,Option B,convenience,True,
34,High,Streaming,Option B,Option B,convenience,True,
43,Low,Voice,Option C,Option B,convenience,True,
18,High,Streaming,Option A,Option B,convenience,True,
39,Medium,Browsing,Option B,Option B,convenience,True,
53,High,Streaming,Option A,Option B,convenience,True,
72,Medium,Gaming,Option A,Option C,convenience,True,
27,Medium,Streaming,Option C,Option B,convenience,True,
19,High,Streaming,Option A,Option B,convenience,True,
36,Low,Browsing,Option C,Option A,convenience,True,
50,High,Streaming,Option A,Option C,convenience,True,
21,Low,Voice,Option C,Option B,convenience,True,
18,High,Gaming,Option A,Option C,convenience,True,
43,High,Streaming,Option B,,,False,Invalid \escape: line 2 column 211 (char 212)
48,Low,Voice,Option A,Option A,convenience,True,
48,Medium,Gaming,Option A,Option B,convenience,True,
44,Medium,Browsing,Option A,Option B,convenience,True,
50,Low,Voice,Option A,Option C,convenience,True,
34,High,Streaming,Option C,Option C,convenience,True,
72,Medium,Gaming,Option A,Option B,convenience,True,
27,Low,Voice,Option C,Option B,convenience,True,
47,Low,Voice,Option A,Option C,convenience,True,
77,Medium,Streaming,Option B,Option C,convenience,True,
44,High,Gaming,Option A,Option B,convenience,True,
44,Medium,Streaming,Option A,Option B,convenience,True,
19,Medium,Browsing,Option C,Option B,convenience,True,
31,Low,Browsing,Option A,Option B,convenience,True,
46,Low,Browsing,Option A,Option A,convenience,True,
40,Low,Voice,Option C,Option B,convenience,True,
54,Medium,Gaming,Option A,Option C,convenience,True,
23,Low,Voice,Option C,Option A,convenience,True,
20,Low,Voice,Option C,Option B,convenience,True,
64,Medium,Gaming,Option A,Option A,convenience,True,
79,High,Streaming,Option C,Option A,convenience,True,
24,Medium,Browsing,Option A,Option B,convenience,True,
46,High,Streaming,Option C,Option B,convenience,True,
24,Medium,Gaming,Option B,Option B,convenience,True,
75,Low,Voice,Option C,Option B,convenience,True,
43,High,Streaming,Option C,Option A,convenience,True,
49,Low,Voice,Option B,Option C,convenience,True,
26,Low,Browsing,Option A,Option B,convenience,True,
39,Medium,Streaming,Option B,Option B,convenience,True,
40,Medium,Browsing,Option A,Option A,convenience,True,
