model,age,income_tier,primary_use,choice,factor,parse_success
llama-3.3-70b-versatile,23,High,Streaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,29,Low,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,27,High,Streaming,Option C,experience,True
llama-3.3-70b-versatile,23,Medium,Browsing,Option C,peer_alignment,True
llama-3.3-70b-versatile,41,Low,Browsing,Option A,price,True
llama-3.3-70b-versatile,50,Low,Voice,Option C,price,True
llama-3.3-70b-versatile,19,High,Streaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,21,High,Streaming,Option B,peer_alignment,True
llama-3.3-70b-versatile,33,High,Streaming,Option B,peer_alignment,True
llama-3.3-70b-versatile,18,High,Streaming,Option C,peer_alignment,True
llama-3.3-70b-versatile,23,Low,Voice,Option B,peer_alignment,True
llama-3.3-70b-versatile,43,High,Streaming,Option B,peer_alignment,True
llama-3.3-70b-versatile,37,Medium,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,41,High,Gaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,64,Low,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,54,Low,Voice,Option C,peer_alignment,True
llama-3.3-70b-versatile,18,Low,Voice,Option A,price,True
llama-3.3-70b-versatile,53,Medium,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,46,Medium,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,41,Medium,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,40,High,Streaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,34,Low,Browsing,Option A,price,True
llama-3.3-70b-versatile,32,High,Streaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,34,Medium,Streaming,Option C,peer_alignment,True
llama-3.3-70b-versatile,63,High,Gaming,Option C,peer_alignment,True
llama-3.3-70b-versatile,75,High,Streaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,40,Medium,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,26,Low,Voice,Option A,price,True
llama-3.3-70b-versatile,78,Low,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,29,High,Streaming,Option C,peer_alignment,True
llama-3.3-70b-versatile,37,Medium,Gaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,53,Medium,Gaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,26,High,Streaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,54,High,Streaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,19,Low,Browsing,Option B,peer_alignment,True
llama-3.3-70b-versatile,24,Medium,Streaming,Option C,peer_alignment,True
llama-3.3-70b-versatile,35,Low,Voice,Option B,peer_alignment,True
llama-3.3-70b-versatile,29,Medium,Streaming,Option C,peer_alignment,True
llama-3.3-70b-versatile,27,Medium,Streaming,Option C,peer_alignment,True
llama-3.3-70b-versatile,31,Medium,Gaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,42,Low,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,36,Medium,Streaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,23,Medium,Streaming,Option C,peer_alignment,True
llama-3.3-70b-versatile,45,Medium,Browsing,Option B,peer_alignment,True
